epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.03308,2.3105,4.95803,1.89873,0,0,0,0,1.917,5.12381,1.57396,0,0,0
2,4.52155,2.12007,5.06046,1.81899,0,0,0,0,1.833,5.14283,1.54736,4.71288e-06,4.71288e-06,4.71288e-06
3,5.85243,1.61548,4.81001,1.4897,0,0,0,0,1.74577,4.97153,1.5005,9.3315e-06,9.3315e-06,9.3315e-06
4,7.18396,2.34095,5.13453,1.88534,0,0,0,0,1.82676,4.84862,1.46088,1.38559e-05,1.38559e-05,1.38559e-05
5,8.48476,2.03117,4.94398,1.70838,0,0,0,0,1.83791,4.70013,1.41862,1.8286e-05,1.8286e-05,1.8286e-05
6,9.80994,1.88912,4.77224,1.57498,0,0,0,0,1.67189,4.7852,1.33961,2.26219e-05,2.26219e-05,2.26219e-05
7,11.12,1.81568,4.64836,1.54221,0,0,0,0,1.58509,4.78917,1.29051,2.68635e-05,2.68635e-05,2.68635e-05
8,12.5548,1.92948,4.8286,1.60684,0,0,0,0,1.47143,4.7237,1.224,3.10109e-05,3.10109e-05,3.10109e-05
9,13.9342,2.05564,4.73172,1.62854,0,0,0,0,1.12095,4.47855,1.03423,3.50641e-05,3.50641e-05,3.50641e-05
10,15.289,1.81245,4.62021,1.56024,0,0,0,0,0.91204,4.38509,0.91467,3.9023e-05,3.9023e-05,3.9023e-05
11,16.6757,1.65606,4.49675,1.41695,0,0,0,0,0.82711,4.29505,0.79799,4.28876e-05,4.28876e-05,4.28876e-05
12,18.3008,1.59639,4.35981,1.34558,0,0,0,0,0.77825,4.27709,0.75038,4.6658e-05,4.6658e-05,4.6658e-05
13,19.7252,1.28644,4.24522,1.25691,0,0,0,0,0.90304,4.31672,0.80329,5.03341e-05,5.03341e-05,5.03341e-05
14,21.2565,1.63692,4.34915,1.368,0,0,0,0,0.98687,4.32816,0.83634,5.3916e-05,5.3916e-05,5.3916e-05
15,22.6629,1.36242,4.10223,1.2346,0,0,0,0,0.87131,4.2816,0.78971,5.74037e-05,5.74037e-05,5.74037e-05
16,24.0671,1.56182,4.10033,1.31029,0.5,0.5,0.4975,0.4975,0.68214,4.21998,0.71963,6.07971e-05,6.07971e-05,6.07971e-05
17,25.4066,1.68622,3.9949,1.46577,0.5,0.5,0.4975,0.4975,0.69756,4.20538,0.72695,6.40963e-05,6.40963e-05,6.40963e-05
18,26.7302,1.51293,3.84731,1.3277,0.5,0.5,0.4975,0.4975,0.69756,4.20538,0.72695,6.73012e-05,6.73012e-05,6.73012e-05
19,28.1008,1.37591,3.74062,1.34429,0.5,0.5,0.4975,0.4975,0.78076,4.18127,0.76662,7.04118e-05,7.04118e-05,7.04118e-05
20,29.4463,1.32417,3.69148,1.22736,0.5,0.5,0.4975,0.4975,0.78076,4.18127,0.76662,7.34282e-05,7.34282e-05,7.34282e-05
21,30.8318,1.64021,3.8473,1.3194,0.5,0.5,0.4975,0.4975,0.73713,4.10927,0.75845,7.63504e-05,7.63504e-05,7.63504e-05
22,32.1675,1.52807,3.48967,1.34107,0.5,0.5,0.4975,0.4975,0.73713,4.10927,0.75845,7.91783e-05,7.91783e-05,7.91783e-05
23,33.5615,1.61411,3.80177,1.41376,0.25,0.5,0.4975,0.4975,0.83636,4.03643,0.79651,8.1912e-05,8.1912e-05,8.1912e-05
24,34.9104,1.3793,3.38499,1.24547,0.25,0.5,0.4975,0.4975,0.83636,4.03643,0.79651,8.45514e-05,8.45514e-05,8.45514e-05
25,36.3154,1.43822,3.46191,1.32353,0.25,0.5,0.4975,0.4975,0.96592,3.99248,0.87502,8.70966e-05,8.70966e-05,8.70966e-05
26,37.6798,1.36754,3.21887,1.20608,0.25,0.5,0.4975,0.4975,0.96592,3.99248,0.87502,8.95475e-05,8.95475e-05,8.95475e-05
27,39.0645,1.52934,3.23457,1.32885,0.5,0.5,0.4975,0.4975,1.07174,3.92826,0.9183,9.19042e-05,9.19042e-05,9.19042e-05
28,40.4878,1.49098,2.93371,1.37484,0.5,0.5,0.4975,0.4975,1.07174,3.92826,0.9183,9.41666e-05,9.41666e-05,9.41666e-05
29,41.8966,1.47265,3.0251,1.25551,0.5,0.5,0.4975,0.4975,0.99537,3.76737,0.87337,9.63348e-05,9.63348e-05,9.63348e-05
30,43.2013,1.10808,2.5821,1.09806,0.5,0.5,0.4975,0.4975,0.99537,3.76737,0.87337,9.84087e-05,9.84087e-05,9.84087e-05
31,44.5361,1.43022,2.83634,1.3612,0.27637,0.5,0.4975,0.4975,0.83378,3.54549,0.80725,0.000100388,0.000100388,0.000100388
32,45.8886,1.49838,2.5447,1.41058,0.27637,0.5,0.4975,0.4975,0.83378,3.54549,0.80725,0.000102274,0.000102274,0.000102274
33,47.2204,1.30064,2.4777,1.23562,0.39001,0.5,0.4975,0.4975,0.8693,3.36591,0.80109,0.000104065,0.000104065,0.000104065
34,48.5853,1.24626,2.25901,1.14702,0.39001,0.5,0.4975,0.4975,0.8693,3.36591,0.80109,0.000105762,0.000105762,0.000105762
35,49.9075,1.22262,2.1509,1.23436,0.42988,0.5,0.4975,0.4975,0.8862,3.24343,0.78954,0.000107365,0.000107365,0.000107365
36,51.184,1.10897,2.06592,1.20106,0.42988,0.5,0.4975,0.4975,0.8862,3.24343,0.78954,0.000108873,0.000108873,0.000108873
37,52.5332,1.37414,2.02353,1.29154,0.44797,0.5,0.4975,0.4975,0.74124,3.15037,0.73815,0.000110287,0.000110287,0.000110287
38,53.8885,1.28211,1.85313,1.1547,0.44797,0.5,0.4975,0.4975,0.74124,3.15037,0.73815,0.000111607,0.000111607,0.000111607
39,55.2412,1.26105,1.74849,1.16645,0.45227,0.5,0.4975,0.4975,0.59393,2.97676,0.68799,0.000112833,0.000112833,0.000112833
40,56.5578,1.15231,1.59046,1.07186,0.45227,0.5,0.4975,0.4975,0.59393,2.97676,0.68799,0.000113964,0.000113964,0.000113964
41,57.9147,1.18294,1.71212,1.13151,0.44439,0.5,0.4975,0.4975,0.66639,2.95888,0.70823,0.000115002,0.000115002,0.000115002
42,59.3586,0.98798,1.62823,1.03551,0.44439,0.5,0.4975,0.4975,0.66639,2.95888,0.70823,0.000115945,0.000115945,0.000115945
43,60.7516,1.23015,1.69931,1.2114,0.42667,0.5,0.4975,0.4975,0.70635,2.98952,0.72542,0.000116793,0.000116793,0.000116793
44,62.0973,1.1088,1.92736,1.08698,0.42667,0.5,0.4975,0.4975,0.70635,2.98952,0.72542,0.000117548,0.000117548,0.000117548
45,63.4638,1.20517,2.07259,1.26452,0.40333,0.5,0.4975,0.4975,0.69754,2.99061,0.7148,0.000118208,0.000118208,0.000118208
46,64.7984,1.00733,1.50292,1.02688,0.40333,0.5,0.4975,0.4975,0.69754,2.99061,0.7148,0.000118774,0.000118774,0.000118774
47,66.155,1.1032,1.95722,1.03567,0.38131,0.5,0.4975,0.4975,0.69772,3.03538,0.71569,0.000119246,0.000119246,0.000119246
48,67.433,0.94319,1.44534,1.0264,0.38131,0.5,0.4975,0.4975,0.69772,3.03538,0.71569,0.000119623,0.000119623,0.000119623
49,68.7278,1.05837,1.4245,1.04926,0.41082,0.5,0.4975,0.4975,0.66795,2.98977,0.7099,0.000119906,0.000119906,0.000119906
50,70.022,1.27174,1.62476,1.23047,0.41082,0.5,0.4975,0.4975,0.66795,2.98977,0.7099,0.000120095,0.000120095,0.000120095
51,71.329,1.15927,1.80129,1.0814,0.43463,0.5,0.4975,0.4975,0.7347,3.00126,0.74231,0.00012019,0.00012019,0.00012019
52,72.6167,1.09929,1.56291,1.12882,0.43463,0.5,0.4975,0.4975,0.7347,3.00126,0.74231,0.00012019,0.00012019,0.00012019
53,73.9016,0.88811,1.37602,0.92997,0.43463,0.5,0.4975,0.4975,0.7347,3.00126,0.74231,0.000120097,0.000120097,0.000120097
54,75.232,1.07267,1.44214,1.05306,0.44946,0.5,0.4975,0.4975,0.72688,2.89237,0.73036,0.000119909,0.000119909,0.000119909
55,76.5225,1.14916,1.60503,1.18252,0.44946,0.5,0.4975,0.4975,0.72688,2.89237,0.73036,0.000119626,0.000119626,0.000119626
56,77.7957,0.94286,1.50029,1.0548,0.44946,0.5,0.4975,0.4975,0.72688,2.89237,0.73036,0.00011925,0.00011925,0.00011925
57,79.1026,1.16342,1.60008,1.08592,0.4532,0.5,0.4975,0.4975,0.7583,2.87726,0.73904,0.000118779,0.000118779,0.000118779
58,80.3705,0.92214,1.45949,1.07136,0.4532,0.5,0.4975,0.4975,0.7583,2.87726,0.73904,0.000118214,0.000118214,0.000118214
59,81.6586,1.0699,1.54738,1.10937,0.4532,0.5,0.4975,0.4975,0.7583,2.87726,0.73904,0.000117555,0.000117555,0.000117555
60,82.9822,1.08104,1.59233,1.05052,0.44848,0.5,0.4975,0.4975,0.85347,2.9771,0.79319,0.000116801,0.000116801,0.000116801
61,84.2519,1.04003,1.59649,1.04852,0.44848,0.5,0.4975,0.4975,0.85347,2.9771,0.79319,0.000115954,0.000115954,0.000115954
62,85.5358,1.03997,1.63172,1.03217,0.44848,0.5,0.4975,0.4975,0.85347,2.9771,0.79319,0.000115012,0.000115012,0.000115012
