epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.59237,1.68376,4.7514,1.57757,0,0,0,0,1.10116,4.50634,1.12552,9.52e-06,9.52e-06,9.52e-06
2,8.38518,1.61614,4.85174,1.49013,0,0,0,0,1.10875,4.42625,1.09341,2.35644e-05,2.35644e-05,2.35644e-05
3,12.0673,1.24007,4.48552,1.26686,0,0,0,0,0.98702,4.41273,1.02705,3.7326e-05,3.7326e-05,3.7326e-05
4,15.7664,1.16615,4.33102,1.25409,0,0,0,0,1.02382,4.41469,1.01292,5.08049e-05,5.08049e-05,5.08049e-05
5,19.4623,1.19248,4.1255,1.28813,0.5,0.3,0.4,0.38992,1.03834,4.34434,1.02204,6.40011e-05,6.40011e-05,6.40011e-05
6,23.2079,1.07433,3.72514,1.22587,0.5,0.4,0.45,0.40969,0.95551,4.29113,0.99163,7.69145e-05,7.69145e-05,7.69145e-05
7,27.0679,1.23733,3.51238,1.29489,0.28571,0.4,0.4275,0.40025,0.99837,4.25065,0.99335,8.95451e-05,8.95451e-05,8.95451e-05
8,30.897,1.22955,3.11666,1.33484,0.28571,0.4,0.4275,0.40886,1.06556,4.18325,1.0098,0.000101893,0.000101893,0.000101893
9,34.6303,1.16619,2.79918,1.24231,0.5,0.3327,0.415,0.37088,1.22051,3.95173,0.99284,0.000113958,0.000113958,0.000113958
10,38.2847,1.03056,2.29003,1.15978,0.5,0.38054,0.45306,0.38454,1.20997,3.74179,0.97143,0.000125741,0.000125741,0.000125741
11,42.1586,1.16845,2.42277,1.27229,0.5,0.3928,0.48083,0.43923,1.13312,3.44412,0.95213,0.00013724,0.00013724,0.00013724
12,45.9866,1.01412,1.93669,1.14297,0.5,0.45738,0.4975,0.44719,1.14103,3.31039,0.90972,0.000148457,0.000148457,0.000148457
13,49.8591,1.03881,1.97172,1.1168,0.5,0.48355,0.4975,0.46275,0.96068,3.05161,0.82818,0.000159391,0.000159391,0.000159391
14,53.6567,1.05804,1.67684,1.10195,0.5,0.49183,0.4975,0.472,0.8718,2.91658,0.79958,0.000170043,0.000170043,0.000170043
15,57.5741,0.90918,1.59502,1.05977,0.47838,0.5,0.4975,0.4975,0.78825,2.81466,0.78409,0.000180412,0.000180412,0.000180412
16,61.4443,0.88127,1.56759,1.01031,0.49288,0.5,0.4975,0.489,0.75311,2.75704,0.78301,0.000190498,0.000190498,0.000190498
17,65.3495,0.96792,1.70043,1.04607,0.97069,0.5,0.4975,0.48867,0.80206,2.68034,0.78684,0.000200301,0.000200301,0.000200301
18,69.2262,1.04148,1.63171,1.08346,0.97288,0.5,0.4975,0.48066,0.79894,2.65425,0.78478,0.000209821,0.000209821,0.000209821
19,73.2435,0.99913,1.58786,1.07846,0.96912,0.5,0.4975,0.4975,0.76995,2.61022,0.78347,0.000219059,0.000219059,0.000219059
20,77.2017,0.94864,1.53417,1.06281,0.98503,0.5,0.4975,0.4975,0.75657,2.53053,0.78032,0.000228014,0.000228014,0.000228014
21,81.1094,0.89458,1.4948,1.02635,0.99958,0.5,0.59688,0.54719,0.73222,2.39686,0.77838,0.000236686,0.000236686,0.000236686
22,85.0215,0.89862,1.46101,1.05055,1,0.49997,0.62398,0.54888,0.70883,2.22487,0.77511,0.000245076,0.000245076,0.000245076
23,89.0618,0.86669,1.42107,1.03871,0.99528,0.5,0.6699,0.57526,0.71386,2.12839,0.77163,0.000253182,0.000253182,0.000253182
24,92.8285,0.93983,1.42171,1.03943,0.99595,0.5,0.74411,0.58796,0.76807,2.07761,0.78414,0.000261007,0.000261007,0.000261007
25,96.7778,0.88626,1.40305,1.02376,0.99566,0.5,0.79604,0.60406,0.75776,1.99844,0.7835,0.000268548,0.000268548,0.000268548
26,100.88,0.88412,1.29864,0.99972,0.99499,0.5,0.7709,0.59091,0.77307,1.95491,0.78058,0.000275806,0.000275806,0.000275806
27,104.794,0.83261,1.35114,0.97906,0.99659,0.5,0.72408,0.56795,0.80329,1.93274,0.78669,0.000282782,0.000282782,0.000282782
28,108.783,0.84995,1.25954,1.01079,0.99721,0.5,0.72822,0.54251,0.82549,1.89386,0.79154,0.000289475,0.000289475,0.000289475
29,112.642,0.9199,1.26349,1.01211,0.99721,0.5,0.72822,0.54251,0.82549,1.89386,0.79154,0.000295885,0.000295885,0.000295885
30,116.616,0.82036,1.21646,0.99022,0.92321,0.5,0.84177,0.57217,0.85254,1.81564,0.79845,0.000302013,0.000302013,0.000302013
31,120.647,0.85522,1.30658,0.994,0.92285,0.5,0.91113,0.59505,0.8466,1.77497,0.80064,0.000307858,0.000307858,0.000307858
32,124.511,0.88936,1.23222,1.03229,0.92403,0.5,0.85286,0.57222,0.90434,1.82745,0.80886,0.00031342,0.00031342,0.00031342
33,128.324,0.84937,1.225,1.01805,0.92403,0.5,0.85286,0.57222,0.90434,1.82745,0.80886,0.000318699,0.000318699,0.000318699
34,132.243,0.81209,1.19432,1.00404,0.92668,0.5,0.8325,0.54968,0.91518,1.82857,0.81223,0.000320491,0.000320491,0.000320491
35,136.001,0.80261,1.14057,0.96097,0.92664,0.5,0.82,0.55444,0.91729,1.79024,0.81745,0.000315778,0.000315778,0.000315778
36,139.797,0.80536,1.22624,0.97728,0.86073,0.6,0.81773,0.55748,0.92135,1.70371,0.82508,0.000311066,0.000311066,0.000311066
37,143.568,0.788,1.12586,0.98827,0.86073,0.6,0.81773,0.55748,0.92135,1.70371,0.82508,0.000306354,0.000306354,0.000306354
38,147.339,0.81827,1.13334,0.98091,0.71757,0.65553,0.83944,0.57259,0.85818,1.50755,0.79422,0.000301641,0.000301641,0.000301641
39,151.131,0.84078,1.13329,0.99366,0.91858,0.87893,0.92441,0.61175,0.80999,1.3312,0.77417,0.000296929,0.000296929,0.000296929
40,155.303,0.83877,1.1202,0.99306,0.90655,0.9,0.92625,0.63642,0.76008,1.25775,0.76371,0.000292216,0.000292216,0.000292216
41,159.226,0.8202,1.10579,0.98269,0.90655,0.9,0.92625,0.63642,0.76008,1.25775,0.76371,0.000287504,0.000287504,0.000287504
42,163.136,0.78087,1.10017,0.95043,0.88945,0.8637,0.92625,0.65968,0.78035,1.25012,0.77099,0.000282792,0.000282792,0.000282792
43,167.01,0.79597,1.07879,0.95776,0.89778,0.85904,0.93346,0.67014,0.79967,1.30932,0.77269,0.000278079,0.000278079,0.000278079
44,171.053,0.77236,1.10636,0.9301,0.91732,0.85914,0.93346,0.64741,0.78109,1.31241,0.76974,0.000273367,0.000273367,0.000273367
45,175.029,0.66405,0.99158,0.90996,0.91732,0.85914,0.93346,0.64741,0.78109,1.31241,0.76974,0.000268654,0.000268654,0.000268654
46,178.947,0.76127,1.06389,0.97206,0.92171,0.85248,0.93346,0.63968,0.75086,1.27791,0.76347,0.000263942,0.000263942,0.000263942
47,182.79,0.70155,0.99063,0.91488,0.9102,0.9,0.93667,0.62306,0.75785,1.22243,0.77721,0.00025923,0.00025923,0.00025923
48,186.79,0.75775,1.0853,0.95195,0.9285,0.89006,0.945,0.64809,0.73823,1.17736,0.77417,0.000254517,0.000254517,0.000254517
49,190.7,0.78349,1.0847,0.96197,0.9285,0.89006,0.945,0.64809,0.73823,1.17736,0.77417,0.000249805,0.000249805,0.000249805
50,194.847,0.67668,1.05373,0.90101,0.92853,0.8913,0.96643,0.66621,0.66903,1.18041,0.75223,0.000245092,0.000245092,0.000245092
