epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.68623,1.84453,3.89967,1.58617,0.00365,0.45833,0.08156,0.05431,1.48945,3.25952,1.45471,0.00010002,0.00010002,0.00010002
2,2.4283,1.33317,3.34349,1.27983,0.00348,0.5,0.44714,0.29739,0.88874,3.07122,1.01179,0.000214565,0.000214565,0.000214565
3,3.13826,1.21621,2.7429,1.17598,0.00324,0.5,0.41469,0.34929,0.74884,2.92175,0.90991,0.000326799,0.000326799,0.000326799
4,3.84784,1.39333,2.32377,1.18738,0.00402,0.54167,0.43456,0.31478,0.97253,2.78902,0.96984,0.000436722,0.000436722,0.000436722
5,4.55643,1.24795,2.01292,1.10572,1,0.22131,0.46491,0.31053,0.93791,2.5708,0.97513,0.000544336,0.000544336,0.000544336
6,5.23537,1.23176,1.89139,1.10762,1,0.15798,0.42771,0.30069,0.95727,2.61626,0.99793,0.000649638,0.000649638,0.000649638
7,5.93756,1.35238,2.07674,1.14406,0.73132,0.21576,0.3339,0.22848,0.92924,2.69001,0.9616,0.00075263,0.00075263,0.00075263
8,6.64215,1.21819,1.74949,1.11236,0.71137,0.41667,0.36028,0.2406,1.08633,2.63946,1.00184,0.000853312,0.000853312,0.000853312
9,7.31723,1.20169,1.743,1.06915,0.00513,0.5,0.05549,0.03289,1.43205,3.07283,1.26112,0.000951684,0.000951684,0.000951684
10,7.94083,1.22626,1.67426,1.13419,0.00286,0.45833,0.18573,0.11982,1.54122,3.09509,1.29624,0.00104774,0.00104774,0.00104774
11,8.62491,1.26749,1.71849,1.11635,0.97728,0.29167,0.38215,0.24327,1.33601,2.53724,1.17002,0.00114149,0.00114149,0.00114149
12,9.33901,1.24108,1.69466,1.12102,0.91095,0.375,0.42309,0.23138,1.51874,2.3496,1.49294,0.00123293,0.00123293,0.00123293
13,9.99309,1.26742,1.62476,1.08993,0.8483,0.375,0.42359,0.28378,1.26867,1.97125,1.18296,0.00132206,0.00132206,0.00132206
14,10.6252,1.22521,1.51997,1.03544,0.88511,0.41919,0.5934,0.3744,1.10903,1.55801,1.04189,0.00140888,0.00140888,0.00140888
15,11.2758,1.30099,1.49604,1.10287,0.81963,0.41667,0.60079,0.36709,1.0852,1.69775,1.03171,0.00143595,0.00143595,0.00143595
16,11.9404,1.21752,1.45649,1.08966,0.93931,0.29167,0.77628,0.41447,1.07419,1.77366,1.02361,0.00141945,0.00141945,0.00141945
17,12.5522,1.1611,1.47009,1.06161,0.88991,0.44345,0.77277,0.41804,1.23664,1.67164,1.23848,0.00140295,0.00140295,0.00140295
18,13.1868,1.19819,1.47562,1.07511,0.72101,0.59761,0.80189,0.44294,1.18331,1.57535,1.06987,0.00138644,0.00138644,0.00138644
19,13.8509,1.21249,1.38829,1.03262,0.58265,0.625,0.75829,0.46315,1.0389,1.50881,1.00194,0.00136994,0.00136994,0.00136994
20,14.5197,1.20242,1.41154,1.05772,0.88756,0.43153,0.7344,0.43257,1.07678,1.89434,1.01769,0.00135344,0.00135344,0.00135344
21,15.1543,1.20294,1.38865,1.09702,0.86249,0.45833,0.73348,0.43647,1.08172,1.87729,0.99031,0.00133693,0.00133693,0.00133693
22,15.7865,1.09281,1.25625,1.01812,0.60586,0.65483,0.73182,0.41798,1.15457,1.79838,1.00108,0.00132043,0.00132043,0.00132043
23,16.4143,1.25666,1.42718,1.12976,0.78566,0.66667,0.84563,0.54005,0.90367,1.32743,0.93153,0.00130393,0.00130393,0.00130393
24,17.0774,1.1246,1.24339,1.03141,0.71812,0.63529,0.79064,0.49225,0.95289,1.44237,0.95683,0.00128742,0.00128742,0.00128742
25,17.684,1.05659,1.15952,1.00629,0.74879,0.55771,0.75577,0.46959,0.95038,1.68823,0.95763,0.00127092,0.00127092,0.00127092
26,18.3096,1.08955,1.1485,1.03477,0.484,0.66667,0.75049,0.44765,0.93716,1.65023,0.9558,0.00125442,0.00125442,0.00125442
27,18.9301,1.14241,1.24272,1.07932,1,0.45228,0.84954,0.54547,0.84762,1.38796,0.9237,0.00123791,0.00123791,0.00123791
